type,image,repeatability,algorithm
v,2,0.500732421875,disk
v,3,0.483154296875,disk
v,4,0.292236328125,disk
v,5,0.204833984375,disk
v,6,0.231689453125,disk
v,2,0.511962890625,disk
v,3,0.4404296875,disk
v,4,0.508544921875,disk
v,5,0.408935546875,disk
v,6,0.328125,disk
v,2,0.82666015625,disk
v,3,0.668212890625,disk
v,4,0.5751953125,disk
v,5,0.522705078125,disk
v,6,0.530029296875,disk
v,2,0.617919921875,disk
v,3,0.637939453125,disk
v,4,0.5625,disk
v,5,0.5966796875,disk
v,6,0.606201171875,disk
v,2,0.604736328125,disk
v,3,0.36865234375,disk
v,4,0.58251953125,disk
v,5,0.418701171875,disk
v,6,0.59375,disk
v,2,0.396728515625,disk
v,3,0.28369140625,disk
v,4,0.346923828125,disk
v,5,0.298583984375,disk
v,6,0.3759765625,disk
v,2,0.392333984375,disk
v,3,0.280517578125,disk
v,4,0.55126953125,disk
v,5,0.607421875,disk
v,6,0.161865234375,disk
v,2,0.352294921875,disk
v,3,0.406005859375,disk
v,4,0.447998046875,disk
v,5,0.407470703125,disk
v,6,0.427978515625,disk
v,2,0.3642578125,disk
v,3,0.42626953125,disk
v,4,0.397705078125,disk
v,5,0.36376953125,disk
v,6,0.357666015625,disk
v,2,0.530029296875,disk
v,3,0.565673828125,disk
v,4,0.486083984375,disk
v,5,0.528076171875,disk
v,6,0.476806640625,disk
v,2,0.3662109375,disk
v,3,0.28759765625,disk
v,4,0.2724609375,disk
v,5,0.2294921875,disk
v,6,0.333984375,disk
v,2,0.76611328125,disk
v,3,0.475341796875,disk
v,4,0.322265625,disk
v,5,0.348388671875,disk
v,6,0.325927734375,disk
v,2,0.806884765625,disk
v,3,0.709716796875,disk
v,4,0.419921875,disk
v,5,0.40185546875,disk
v,6,0.365966796875,disk
v,2,0.594482421875,disk
v,3,0.348876953125,disk
v,4,0.406005859375,disk
v,5,0.42919921875,disk
v,6,0.42431640625,disk
v,2,0.564697265625,disk
v,3,0.547119140625,disk
v,4,0.538818359375,disk
v,5,0.542724609375,disk
v,6,0.301025390625,disk
v,2,0.4814453125,disk
v,3,0.0732421875,disk
v,4,0.052001953125,disk
v,5,0.0517578125,disk
v,6,0.05908203125,disk
v,2,0.602783203125,disk
v,3,0.474609375,disk
v,4,0.315185546875,disk
v,5,0.263427734375,disk
v,6,0.2138671875,disk
v,2,0.731689453125,disk
v,3,0.638427734375,disk
v,4,0.576416015625,disk
v,5,0.69140625,disk
v,6,0.590087890625,disk
v,2,0.683349609375,disk
v,3,0.4892578125,disk
v,4,0.755615234375,disk
v,5,0.51123046875,disk
v,6,0.40869140625,disk
v,2,0.57958984375,disk
v,3,0.223876953125,disk
v,4,0.454345703125,disk
v,5,0.169189453125,disk
v,6,0.17041015625,disk
v,2,0.4091796875,disk
v,3,0.3466796875,disk
v,4,0.58642578125,disk
v,5,0.546142578125,disk
v,6,0.3720703125,disk
v,2,0.588134765625,disk
v,3,0.52685546875,disk
v,4,0.417724609375,disk
v,5,0.54248046875,disk
v,6,0.51318359375,disk
v,2,0.132080078125,disk
v,3,0.247314453125,disk
v,4,0.212646484375,disk
v,5,0.091064453125,disk
v,6,0.1845703125,disk
v,2,0.482666015625,disk
v,3,0.55029296875,disk
v,4,0.655517578125,disk
v,5,0.492919921875,disk
v,6,0.308837890625,disk
v,2,0.520263671875,disk
v,3,0.34765625,disk
v,4,0.096435546875,disk
v,5,0.39306640625,disk
v,6,0.146240234375,disk
v,2,0.531005859375,disk
v,3,0.240966796875,disk
v,4,0.496826171875,disk
v,5,0.349365234375,disk
v,6,0.25439453125,disk
v,2,0.372802734375,disk
v,3,0.489990234375,disk
v,4,0.317626953125,disk
v,5,0.4013671875,disk
v,6,0.322265625,disk
i,2,0.7582417582417582,keynet
i,3,0.3976135488837567,keynet
i,4,0.29253849190682985,keynet
i,5,0.30558955528355775,keynet
i,6,0.3076609616951915,keynet
i,2,0.648681640625,keynet
i,3,0.447021484375,keynet
i,4,0.27392578125,keynet
i,5,0.32958984375,keynet
i,6,0.545654296875,keynet
i,2,0.7287917737789203,keynet
i,3,0.6588235294117647,keynet
i,4,0.6342710997442456,keynet
i,5,0.5794841031793642,keynet
i,6,0.5303119482048264,keynet
i,2,0.6984126984126984,keynet
i,3,0.6679987703658161,keynet
i,4,0.7086639162170739,keynet
i,5,0.7550133689839572,keynet
i,6,0.7232866617538688,keynet
i,2,0.7412109375,keynet
i,3,0.64501953125,keynet
i,4,0.653076171875,keynet
i,5,0.370849609375,keynet
i,6,0.356689453125,keynet
i,2,0.658935546875,keynet
i,3,0.58984375,keynet
i,4,0.58642578125,keynet
i,5,0.499267578125,keynet
i,6,0.15100931677018634,keynet
i,2,0.60498046875,keynet
i,3,0.412353515625,keynet
i,4,0.302001953125,keynet
i,5,0.21533203125,keynet
i,6,0.20166015625,keynet
i,2,0.48541726826451054,keynet
i,3,0.5764462809917356,keynet
i,4,0.5528125,keynet
i,5,0.3791979132702967,keynet
i,6,0.39472105578884226,keynet
i,2,0.7330361565131253,keynet
i,3,0.7181773155027241,keynet
i,4,0.7243684992570579,keynet
i,5,0.6830808080808081,keynet
i,6,0.6188003116073747,keynet
i,2,0.397216796875,keynet
i,3,0.52099609375,keynet
i,4,0.62255859375,keynet
i,5,0.7451171875,keynet
i,6,0.401123046875,keynet
i,2,0.769287109375,keynet
i,3,0.417724609375,keynet
i,4,0.414794921875,keynet
i,5,0.412353515625,keynet
i,6,0.56201171875,keynet
i,2,0.91748046875,keynet
i,3,0.856689453125,keynet
i,4,0.7919921875,keynet
i,5,0.7517552657973922,keynet
i,6,0.5700056915196358,keynet
i,2,0.8205645161290323,keynet
i,3,0.6966292134831461,keynet
i,4,0.41077844311377243,keynet
i,5,0.3548689138576779,keynet
i,6,0.3825545171339564,keynet
i,2,0.761544284632854,keynet
i,3,0.6711041503523885,keynet
i,4,0.6129116570831156,keynet
i,5,0.543042270904042,keynet
i,6,0.5049800796812749,keynet
i,2,0.8720186154741129,keynet
i,3,0.8172966781214204,keynet
i,4,0.7979683972911964,keynet
i,5,0.7411636759108211,keynet
i,6,0.7633136094674556,keynet
i,2,0.7920028060329709,keynet
i,3,0.7920544022906227,keynet
i,4,0.7004146510020732,keynet
i,5,0.7385337667027808,keynet
i,6,0.7565341926244182,keynet
i,2,0.607421875,keynet
i,3,0.630126953125,keynet
i,4,0.58544921875,keynet
i,5,0.57080078125,keynet
i,6,0.5390625,keynet
i,2,0.678466796875,keynet
i,3,0.758544921875,keynet
i,4,0.787109375,keynet
i,5,0.806884765625,keynet
i,6,0.73291015625,keynet
i,2,0.55712890625,keynet
i,3,0.506103515625,keynet
i,4,0.448974609375,keynet
i,5,0.42236328125,keynet
i,6,0.40673828125,keynet
i,2,0.51073503409952,keynet
i,3,0.5008840616317252,keynet
i,4,0.44166432386842847,keynet
i,5,0.440325751193485,keynet
i,6,0.47107855519070474,keynet
i,2,0.8560436037191408,keynet
i,3,0.6480700616282842,keynet
i,4,0.5269922879177378,keynet
i,5,0.633453119895459,keynet
i,6,0.5004897159647405,keynet
i,2,0.806396484375,keynet
i,3,0.7314453125,keynet
i,4,0.691162109375,keynet
i,5,0.635009765625,keynet
i,6,0.613037109375,keynet
i,2,0.8359621451104101,keynet
i,3,0.7605152471083071,keynet
i,4,0.6827024185068349,keynet
i,5,0.5767613038906414,keynet
i,6,0.2844374342797056,keynet
i,2,0.6515060240963856,keynet
i,3,0.6141525917297612,keynet
i,4,0.5007550588945938,keynet
i,5,0.503126776577601,keynet
i,6,0.6018060005825808,keynet
i,2,0.9032173685587235,keynet
i,3,0.8216991341991342,keynet
i,4,0.9163753697230438,keynet
i,5,0.9240506329113924,keynet
i,6,0.9176312247644683,keynet
i,2,0.27978515625,keynet
i,3,0.5146484375,keynet
i,4,0.386474609375,keynet
i,5,0.080322265625,keynet
i,6,0.36279296875,keynet
i,2,0.81421647819063,keynet
i,3,0.7171802448290417,keynet
i,4,0.4652455977757183,keynet
i,5,0.6532520325203252,keynet
i,6,0.6281302170283807,keynet
i,2,0.834716796875,keynet
i,3,0.654541015625,keynet
i,4,0.44627895515032034,keynet
i,5,0.29466900995899237,keynet
i,6,0.642333984375,keynet
i,2,0.6311210539398459,keynet
i,3,0.653076171875,keynet
i,4,0.679443359375,keynet
i,5,0.6144297905352987,keynet
i,6,0.539794921875,keynet
i,2,0.55029296875,keynet
i,3,0.607421875,keynet
i,4,0.2548828125,keynet
i,5,0.576171875,keynet
i,6,0.53466796875,keynet
i,2,0.5886588658865887,keynet
i,3,0.42254771415889925,keynet
i,4,0.36154827732879624,keynet
i,5,0.3207070707070707,keynet
i,6,0.2801705756929638,keynet
i,2,0.551025390625,keynet
i,3,0.46923828125,keynet
i,4,0.34375,keynet
i,5,0.34228515625,keynet
i,6,0.723388671875,keynet
i,2,0.6568856285428476,keynet
i,3,0.604360371914075,keynet
i,4,0.47511460379829734,keynet
i,5,0.39531043593130777,keynet
i,6,0.45816326530612245,keynet
i,2,0.9272991639403854,keynet
i,3,0.8815887156644395,keynet
i,4,0.8106201262532492,keynet
i,5,0.7725914861837192,keynet
i,6,0.6860816944024206,keynet
i,2,0.7129094412331407,keynet
i,3,0.4727398205659075,keynet
i,4,0.5091347811099621,keynet
i,5,0.5457446808510639,keynet
i,6,0.587467362924282,keynet
i,2,0.2629441624365482,keynet
i,3,0.15703703703703703,keynet
i,4,0.1596944343397599,keynet
i,5,0.22241620111731844,keynet
i,6,0.21612786051580093,keynet
i,2,0.4931788931788932,keynet
i,3,0.4851129363449692,keynet
i,4,0.39335755059678257,keynet
i,5,0.39136257114161366,keynet
i,6,0.3355890495232236,keynet
i,2,0.699462890625,keynet
i,3,0.907958984375,keynet
i,4,0.86328125,keynet
i,5,0.6708984375,keynet
i,6,0.74365234375,keynet
i,2,0.85791015625,keynet
i,3,0.697998046875,keynet
i,4,0.566162109375,keynet
i,5,0.75341796875,keynet
i,6,0.630859375,keynet
i,2,0.5390625,keynet
i,3,0.479736328125,keynet
i,4,0.3408203125,keynet
i,5,0.552001953125,keynet
i,6,0.428466796875,keynet
i,2,0.8132716049382716,keynet
i,3,0.817783343769568,keynet
i,4,0.6446540880503144,keynet
i,5,0.7187692307692307,keynet
i,6,0.5674552429667519,keynet
i,2,0.8058124174372523,keynet
i,3,0.7262716308337703,keynet
i,4,0.685646186440678,keynet
i,5,0.6328912466843502,keynet
i,6,0.5878107457898958,keynet
i,2,0.676025390625,keynet
i,3,0.66845703125,keynet
i,4,0.63330078125,keynet
i,5,0.599609375,keynet
i,6,0.47802734375,keynet
i,2,0.796875,keynet
i,3,0.81201171875,keynet
i,4,0.7353515625,keynet
i,5,0.498046875,keynet
i,6,0.630126953125,keynet
i,2,0.551025390625,keynet
i,3,0.46923828125,keynet
i,4,0.34375,keynet
i,5,0.34228515625,keynet
i,6,0.723388671875,keynet
i,2,0.218505859375,keynet
i,3,0.283447265625,keynet
i,4,0.223388671875,keynet
i,5,0.399658203125,keynet
i,6,0.186767578125,keynet
i,2,0.7218268090154211,keynet
i,3,0.6218214074512123,keynet
i,4,0.5190684133915575,keynet
i,5,0.4458710242194339,keynet
i,6,0.3537104622871046,keynet
i,2,0.5652173913043478,keynet
i,3,0.22322670375521558,keynet
i,4,0.7563840653728294,keynet
i,5,0.49857954545454547,keynet
i,6,0.5703794369645043,keynet
i,2,0.83935546875,keynet
i,3,0.63818359375,keynet
i,4,0.679931640625,keynet
i,5,0.484130859375,keynet
i,6,0.457275390625,keynet
i,2,0.5743732590529248,keynet
i,3,0.5703491401771756,keynet
i,4,0.5644253951245647,keynet
i,5,0.742661943319838,keynet
i,6,0.5801348547717843,keynet
i,2,0.876708984375,keynet
i,3,0.736083984375,keynet
i,4,0.560791015625,keynet
i,5,0.67578125,keynet
i,6,0.56982421875,keynet
i,2,0.798828125,keynet
i,3,0.5908203125,keynet
i,4,0.50146484375,keynet
i,5,0.361572265625,keynet
i,6,0.343017578125,keynet
v,2,0.752197265625,keynet
v,3,0.7353515625,keynet
v,4,0.47998046875,keynet
v,5,0.570556640625,keynet
v,6,0.416015625,keynet
v,2,0.74634858812074,keynet
v,3,0.6487130600571973,keynet
v,4,0.4639175257731959,keynet
v,5,0.5798575788402849,keynet
v,6,0.5788697788697789,keynet
v,2,0.914794921875,keynet
v,3,0.79052734375,keynet
v,4,0.718505859375,keynet
v,5,0.655029296875,keynet
v,6,0.634765625,keynet
v,2,0.663330078125,keynet
v,3,0.46240234375,keynet
v,4,0.76513671875,keynet
v,5,0.446533203125,keynet
v,6,0.303466796875,keynet
v,2,0.460205078125,keynet
v,3,0.14892578125,keynet
v,4,0.138427734375,keynet
v,5,0.2080078125,keynet
v,6,0.111328125,keynet
v,2,0.855712890625,keynet
v,3,0.884521484375,keynet
v,4,0.844482421875,keynet
v,5,0.625,keynet
v,6,0.7197265625,keynet
v,2,0.515380859375,keynet
v,3,0.415771484375,keynet
v,4,0.617431640625,keynet
v,5,0.395263671875,keynet
v,6,0.529541015625,keynet
v,2,0.62646484375,keynet
v,3,0.57275390625,keynet
v,4,0.603271484375,keynet
v,5,0.417236328125,keynet
v,6,0.338134765625,keynet
v,2,0.677001953125,keynet
v,3,0.64208984375,keynet
v,4,0.621826171875,keynet
v,5,0.51123046875,keynet
v,6,0.3359375,keynet
v,2,0.279296875,keynet
v,3,0.43994140625,keynet
v,4,0.559814453125,keynet
v,5,0.733154296875,keynet
v,6,0.525634765625,keynet
v,2,0.723876953125,keynet
v,3,0.546630859375,keynet
v,4,0.646484375,keynet
v,5,0.447265625,keynet
v,6,0.360595703125,keynet
v,2,0.73876953125,keynet
v,3,0.531494140625,keynet
v,4,0.412353515625,keynet
v,5,0.292236328125,keynet
v,6,0.389892578125,keynet
v,2,0.8671875,keynet
v,3,0.807861328125,keynet
v,4,0.670166015625,keynet
v,5,0.563720703125,keynet
v,6,0.421630859375,keynet
v,2,0.72998046875,keynet
v,3,0.603759765625,keynet
v,4,0.62060546875,keynet
v,5,0.637939453125,keynet
v,6,0.710205078125,keynet
v,2,0.712158203125,keynet
v,3,0.80126953125,keynet
v,4,0.58056640625,keynet
v,5,0.56787109375,keynet
v,6,0.48095703125,keynet
v,2,0.773193359375,keynet
v,3,0.5087890625,keynet
v,4,0.699951171875,keynet
v,5,0.51025390625,keynet
v,6,0.492431640625,keynet
v,2,0.468505859375,keynet
v,3,0.33349609375,keynet
v,4,0.45458984375,keynet
v,5,0.430419921875,keynet
v,6,0.438720703125,keynet
v,2,0.705078125,keynet
v,3,0.603515625,keynet
v,4,0.673583984375,keynet
v,5,0.87548828125,keynet
v,6,0.554931640625,keynet
v,2,0.774169921875,keynet
v,3,0.505615234375,keynet
v,4,0.3857421875,keynet
v,5,0.59765625,keynet
v,6,0.464111328125,keynet
v,2,0.61181640625,keynet
v,3,0.65478515625,keynet
v,4,0.586181640625,keynet
v,5,0.588134765625,keynet
v,6,0.462890625,keynet
v,2,0.576904296875,keynet
v,3,0.51904296875,keynet
v,4,0.317626953125,keynet
v,5,0.26708984375,keynet
v,6,0.23193359375,keynet
v,2,0.8515625,keynet
v,3,0.694580078125,keynet
v,4,0.67626953125,keynet
v,5,0.502685546875,keynet
v,6,0.41162109375,keynet
v,2,0.760986328125,keynet
v,3,0.652099609375,keynet
v,4,0.512451171875,keynet
v,5,0.6533203125,keynet
v,6,0.40283203125,keynet
v,2,0.5969450603596945,keynet
v,3,0.653564453125,keynet
v,4,0.35888671875,keynet
v,5,0.511744127936032,keynet
v,6,0.2954781704781705,keynet
v,2,0.763916015625,keynet
v,3,0.562744140625,keynet
v,4,0.39697265625,keynet
v,5,0.36328125,keynet
v,6,0.338134765625,keynet
v,2,0.739013671875,keynet
v,3,0.7236328125,keynet
